name,nation,abv,country_code
Baron du Val Red,France,11,FRA
Baron du Val White,France,11,FRA
"Calvet, Beaujolais Villages",France,12,FRA
"Calvet, Aetos",France,13,FRA
"Calvet, Bordeaux Red",France,13,FRA
"Calvet, Bordeaux white",France,11,FRA
"Calvet, Varietals Cabernet Sauvignon",France,13,FRA
"Calvet, Varietals Merlot",France,13,FRA
"Calvet, Reserve Bordeaux white",France,11,FRA
"Calvet, Premieres Cotes de Bordeaux",France,13,FRA
"Calvet, Margaux",France,12,FRA
"Calvet, Medoc",France,12,FRA
"Calvet, Saint Emilion",France,12,FRA
Tavernello Rosato Frizzante,Italy,11,ITA
Tavernello Bianco Fizzante,Italy,11,ITA
La Carillon de l'Angelus,France,13,FRA
Chateau Brillette,France,13,FRA
Le Bailly de Camensac,France,13,FRA
L'oratoire de Chasse Spleen,France,12,FRA
Chateau de Seguin Cuvee Prestige,France,13,FRA
Chateau de Seguin,France,13,FRA
Chateau Durfort Vivens,France,13,FRA
La sirene de Giscours,France,12,FRA
Chateau Haut Bages Averous,France,13,FRA
Chateau La Gurgue,France,13,FRA
Ginestet Bordeaux de Ginestet Red,France,12,FRA
Ginestet Bordeaux Reserve Red,France,12,FRA
Ginestet Bordeaux Blanc,France,12,FRA
Mascaron Bordeaux Blanc,France,12,FRA
Mascaron Bordeaux rouge,France,13,FRA
Reference,France,13,FRA
Ginestet Margaux,France,12,FRA
Ginestet Medoc,France,12,FRA
Henri Medoc,France,12,FRA
Mascaron Medoc,France,13,FRA
"Noble, Medoc",France,12,FRA
Chateau Haut Bages Liberal,France,13,FRA
Ginestet Saint Emilion,France,12,FRA
Mascaron Puisseguin Saint Emilion,France,12,FRA
"Ginestet, Saint Estephe",France,12,FRA
Ginestet Sauternes,France,13,FRA
"Ginestet, Selection Cabernet Sauvignon",France,11,FRA
Ginestet Selection Merlot,France,11,FRA
Henri Lavigne,France,10,FRA
"Jean Berteau, Chateauneuf du Pape Domaine du Grand Coulet",France,13,FRA
"Jean Berteau, Cotes du Rhone Cuvee Prestige Red",France,13,FRA
"Jean Berteau, Cotes du Rhone Cuvee Prestige White",France,13,FRA
Jean Berteau Excellence,France,13,FRA
"Jean Luc Colombo, Chateauneuf du Pape 'Les Bartavelles'",France,13,FRA
"Jean Luc Colombo, Cornas 'Les Ruchets'",France,13,FRA
Cote Rotie La Divine,France,13,FRA
