web-scraper-order,web-scraper-start-url,name_raw,price_raw,country_raw,quantity_raw,value_raw
"1734709733-1","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Naturaplan Bio-Prosecco DOC Raphael Dal Bo, extra dry","11.95","Italien","75cl","1.59/10cl"
"1734709733-2","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Rimuss Party Traubensaft weiss, alkoholfrei","4.20","Rimuss","70cl","0.60/10cl"
"1734709733-3","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Zürich AOC Staatsschreiber Cuvée Blanc Prestige","12.70","Schweiz, 2023","75cl","1.69/10cl"
"1734709733-4","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Prosecco Superiore di Valdobbiadene Conegliano DOCG Carpené Malvolti, extra dry","10.95","Italien","75cl","1.46/10cl"
"1734709733-5","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Aigle Les Murailles Chablais AOC H. Badoux","22.50","Schweiz, 2023","70cl","3.21/10cl"
"1734709733-6","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Champagne AOC Charles Bertin, brut","19.50","Frankreich","75cl","2.60/10cl"
"1734709733-7","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Prosecco DOC Vigne dei Dogi, extra dry","6.95","Italien","75cl","0.93/10cl"
"1734709733-8","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Zürich AOC Federweisser Stauffacher","9.95","Schweiz, 2023","75cl","1.33/10cl"
"1734709733-9","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Blu Secco Dose Vino Frizzante 6x20cl","8.70","Italien","120cl","0.73/10cl"
"1734709733-10","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Toscana IGT Rosso Villa Antinori","12.95","Italien, 2022","75cl","1.73/10cl"
"1734709733-11","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Terre Siciliane IGT Nero d'Avola Bromeus","13.95","Italien, 2022","75cl","1.86/10cl"
"1734709733-12","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","La Côte AOC Grand Cru Perroy Cuvée 48 Cave de Jolimont 6x  70cl","41.70","Schweiz, 2023","6x 70cl","0.99/10cl"
"1734709733-13","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Lavaux AOC St-Saphorin La Donjannaz Les Terrasses de Lavaux","14.95","Schweiz, 2023","70cl","2.14/10cl"
"1734709733-14","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Alsace AOP Gewürztraminer Baron de Hoen Beblenheim","7.35","Frankreich, 2022","75cl","0.98/10cl"
"1734709733-15","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Valais AOC Dôle Blanche Les Bernadettes","9.30","Schweiz, 2023","75cl","1.24/10cl"
"1734709733-16","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Douro DOC Fabelhaft Niepoort","11.25","Portugal, 2021","75cl","1.50/10cl"
"1734709733-17","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Glühwein Heisser Hirsch Rot","4.50","Deutschland","75cl","0.60/10cl"
"1734709733-18","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Toscana IGT Bianco Villa Antinori","12.50","Italien, 2023","75cl","1.67/10cl"
"1734709733-19","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Naturaplan Bio-Crémant d'Alsace AOC Wolfberger, brut","10.95","Frankreich","75cl","1.46/10cl"
"1734709733-20","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Médoc AOC Château Laffitte Laujac","8.95","Frankreich, 2021","75cl","1.19/10cl"
"1734709733-21","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Valdo Prosecco di Valdobbiadene DOCG","9.95","Italien","75cl","1.33/10cl"
"1734709733-22","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Rimuss Champion Moscato, alkoholfrei","4.95","Rimuss","75cl","0.66/10cl"
"1734709733-23","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Freixenet Carta Medium Dry semi seco","6.95","Spanien","75cl","0.93/10cl"
"1734709733-24","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Champagne AOC Impérial Moët & Chandon, brut","38.50","Frankreich","75cl","5.13/10cl"
"1734709733-25","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Bourgogne AOC Chardonnay Louis Jadot","18.95","Frankreich, 2022","75cl","2.53/10cl"
"1734709733-26","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Valais AOC Rosé Oeil de Perdrix Le Rosel 6x  75cl","42.60","Schweiz, 2023","6x 75cl","0.95/10cl"
"1734709733-27","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Legaris Crianza Ribera del Duero DO","25.50","Spanien, 2021","75cl","3.40/10cl"
"1734709733-28","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Ripasso della Valpolicella DOC Superiore Vigne Alte Zeni","9.85","Italien, 2022","75cl","1.31/10cl"
"1734709733-29","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20","Vino Nobile di Montepulciano DOCG Tenuta Trerose","16.95","Italien, 2020","75cl","2.26/10cl"
"1734709737-30","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Naturaplan Bio-Prosecco DOC Raphael Dal Bo, extra dry","11.95","Italien","75cl","1.59/10cl"
"1734709737-31","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Rimuss Party Traubensaft weiss, alkoholfrei","4.20","Rimuss","70cl","0.60/10cl"
