web-scraper-order,web-scraper-start-url,name,price,country_raw,quantity,value,country,name_raw_len,bio,non_alcoholic,premium,wine_category,price_category,quantity_in_cl,price_per_10cl,country_code
1734709733-1,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,"NATURAPLAN BIO-PROSECCO DOC RAPHAEL DAL BO, EXTRA DRY",11.95,Italien,75cl,1.59/10cl,Italien,53,1,0,0,SCHAUMWEIN,Mid-Range,75,1.59,IT
1734709733-3,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,ZÜRICH AOC STAATSSCHREIBER CUVÉE BLANC PRESTIGE,12.7,"Schweiz, 2023",75cl,1.69/10cl,Schweiz,47,0,0,1,WEISSWEIN,Mid-Range,75,1.69,CH
1734709733-4,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,"PROSECCO SUPERIORE DI VALDOBBIADENE CONEGLIANO DOCG CARPENÉ MALVOLTI, EXTRA DRY",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,IT
1734709733-5,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,AIGLE LES MURAILLES CHABLAIS AOC H. BADOUX,22.5,"Schweiz, 2023",70cl,3.21/10cl,Schweiz,42,0,0,0,UNCATEGORIZED,Mid-Range,70,3.21,CH
1734709733-6,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,"CHAMPAGNE AOC CHARLES BERTIN, BRUT",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FR
1734709733-7,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,"PROSECCO DOC VIGNE DEI DOGI, EXTRA DRY",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,IT
1734709733-8,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,ZÜRICH AOC FEDERWEISSER STAUFFACHER,9.95,"Schweiz, 2023",75cl,1.33/10cl,Schweiz,35,0,0,0,WEISSWEIN,Budget,75,1.33,CH
1734709733-9,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,BLU SECCO DOSE VINO FRIZZANTE 6X20CL,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,IT
1734709733-10,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,TOSCANA IGT ROSSO VILLA ANTINORI,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,IT
1734709733-11,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,TERRE SICILIANE IGT NERO D'AVOLA BROMEUS,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,IT
1734709733-12,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,LA CÔTE AOC GRAND CRU PERROY CUVÉE 48 CAVE DE JOLIMONT 6X  70CL,41.7,"Schweiz, 2023",6x 70cl,0.99/10cl,Schweiz,63,0,0,1,UNCATEGORIZED,Premium,6,0.99,CH
1734709733-13,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,LAVAUX AOC ST-SAPHORIN LA DONJANNAZ LES TERRASSES DE LAVAUX,14.95,"Schweiz, 2023",70cl,2.14/10cl,Schweiz,59,0,0,0,UNCATEGORIZED,Mid-Range,70,2.14,CH
1734709733-14,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,ALSACE AOP GEWÜRZTRAMINER BARON DE HOEN BEBLENHEIM,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FR
1734709733-15,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,VALAIS AOC DÔLE BLANCHE LES BERNADETTES,9.3,"Schweiz, 2023",75cl,1.24/10cl,Schweiz,39,0,0,0,WEISSWEIN,Budget,75,1.24,CH
1734709733-16,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,DOURO DOC FABELHAFT NIEPOORT,11.25,"Portugal, 2021",75cl,1.50/10cl,Portugal,28,0,0,0,UNCATEGORIZED,Mid-Range,75,1.5,PT
1734709733-17,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,GLÜHWEIN HEISSER HIRSCH ROT,4.5,Deutschland,75cl,0.60/10cl,Deutschland,27,0,0,0,GLÜHWEIN,Budget,75,0.6,DE
1734709733-18,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,TOSCANA IGT BIANCO VILLA ANTINORI,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,IT
1734709733-19,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,"NATURAPLAN BIO-CRÉMANT D'ALSACE AOC WOLFBERGER, BRUT",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FR
1734709733-20,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,MÉDOC AOC CHÂTEAU LAFFITTE LAUJAC,8.95,"Frankreich, 2021",75cl,1.19/10cl,Frankreich,33,0,0,0,UNCATEGORIZED,Budget,75,1.19,FR
1734709733-21,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,VALDO PROSECCO DI VALDOBBIADENE DOCG,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,IT
1734709733-23,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,FREIXENET CARTA MEDIUM DRY SEMI SECO,6.95,Spanien,75cl,0.93/10cl,Spanien,36,0,0,0,SCHAUMWEIN,Budget,75,0.93,ES
1734709733-24,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,"CHAMPAGNE AOC IMPÉRIAL MOËT & CHANDON, BRUT",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FR
1734709733-25,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,BOURGOGNE AOC CHARDONNAY LOUIS JADOT,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FR
1734709733-26,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,VALAIS AOC ROSÉ OEIL DE PERDRIX LE ROSEL 6X  75CL,42.6,"Schweiz, 2023",6x 75cl,0.95/10cl,Schweiz,49,0,0,0,ROSÉWEIN,Premium,6,0.95,CH
1734709733-27,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,LEGARIS CRIANZA RIBERA DEL DUERO DO,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ES
1734709733-28,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,RIPASSO DELLA VALPOLICELLA DOC SUPERIORE VIGNE ALTE ZENI,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,IT
1734709733-29,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=20,VINO NOBILE DI MONTEPULCIANO DOCG TENUTA TREROSE,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,IT
1734709737-30,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19,"NATURAPLAN BIO-PROSECCO DOC RAPHAEL DAL BO, EXTRA DRY",11.95,Italien,75cl,1.59/10cl,Italien,53,1,0,0,SCHAUMWEIN,Mid-Range,75,1.59,IT
1734709737-32,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19,ZÜRICH AOC STAATSSCHREIBER CUVÉE BLANC PRESTIGE,12.7,"Schweiz, 2023",75cl,1.69/10cl,Schweiz,47,0,0,1,WEISSWEIN,Mid-Range,75,1.69,CH
1734709737-33,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19,"PROSECCO SUPERIORE DI VALDOBBIADENE CONEGLIANO DOCG CARPENÉ MALVOLTI, EXTRA DRY",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,IT
1734709737-34,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19,AIGLE LES MURAILLES CHABLAIS AOC H. BADOUX,22.5,"Schweiz, 2023",70cl,3.21/10cl,Schweiz,42,0,0,0,UNCATEGORIZED,Mid-Range,70,3.21,CH
